entity_id,state,last_changed
sensor.reason,"Stable at 5A, battery charging 274W, grid 26W",2026-03-31T12:59:01.071Z
sensor.reason,"Stable at 5A, battery charging 251W, grid 28W",2026-03-31T12:59:31.071Z
sensor.reason,"Stable at 5A, battery charging 621W, grid 32W",2026-03-31T13:00:01.072Z
sensor.reason,"Stable at 5A, battery charging 556W, grid -234W",2026-03-31T13:00:31.072Z
sensor.reason,"Stable at 5A, battery charging 556W, grid -308W",2026-03-31T13:01:01.072Z
sensor.reason,"Stable at 5A, battery charging 562W, grid -400W",2026-03-31T13:01:31.071Z
sensor.reason,"Stable at 5A, battery charging 563W, grid -382W",2026-03-31T13:02:01.072Z
sensor.reason,"Stable at 5A, battery charging 19W, grid -798W",2026-03-31T13:02:31.074Z
sensor.reason,"Stable at 5A, battery charging 20W, grid -828W",2026-03-31T13:03:01.071Z
sensor.reason,"Stable at 5A, battery charging 19W, grid -970W",2026-03-31T13:03:31.071Z
sensor.reason,"Stable at 5A, battery charging 21W, grid -964W",2026-03-31T13:04:01.073Z
sensor.reason,"Stable at 5A, battery charging 37W, grid -1084W",2026-03-31T13:04:31.071Z
sensor.reason,"Stable at 5A, battery charging 40W, grid -1042W",2026-03-31T13:05:01.072Z
sensor.reason,"Headroom 2.1A (net 7.1A), increasing to 6A",2026-03-31T13:05:31.072Z
sensor.reason,"Stable at 6A, battery charging 37W, grid -1106W",2026-03-31T13:06:01.075Z
sensor.reason,"Headroom 2.3A (net 8.3A), increasing to 7A",2026-03-31T13:06:31.072Z
sensor.reason,"Headroom 2.3A (net 9.3A), increasing to 8A",2026-03-31T13:07:01.072Z
sensor.reason,"Headroom 2.3A (net 10.3A), increasing to 9A",2026-03-31T13:07:31.072Z
sensor.reason,"Headroom 2.7A (net 11.7A), increasing to 10A",2026-03-31T13:08:01.075Z
sensor.reason,"Stable at 10A, battery charging 20W, grid -1062W",2026-03-31T13:08:31.072Z
sensor.reason,"Importing -108W, reducing to 9A",2026-03-31T13:09:01.072Z
sensor.reason,"Battery discharging 3270W, reducing to 7A",2026-03-31T13:09:31.074Z
sensor.reason,"Battery discharging 3195W, reducing to 5A",2026-03-31T13:10:01.072Z
sensor.reason,"Headroom 3.6A (net 8.6A), increasing to 6A",2026-03-31T13:10:31.073Z
sensor.reason,"Headroom 4.2A (net 10.2A), ramping to 8A",2026-03-31T13:11:01.072Z
sensor.reason,"Headroom 4.6A (net 12.6A), ramping to 10A",2026-03-31T13:11:31.072Z
sensor.reason,"Battery discharging 2191W, reducing to 8A",2026-03-31T13:12:01.072Z
sensor.reason,"Battery discharging 1111W, reducing to 6A",2026-03-31T13:12:31.073Z
sensor.reason,"Battery discharging 1552W, reducing to 5A",2026-03-31T13:13:01.072Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:13:31.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:14:01.071Z
sensor.reason,"Home battery discharging 1858W, stopping car",2026-03-31T13:14:31.074Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:15:01.072Z
sensor.reason,"Headroom 3.8A (net 8.8A), increasing to 6A",2026-03-31T13:15:31.075Z
sensor.reason,"Battery discharging 116W, reducing to 5A",2026-03-31T13:16:01.073Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:16:31.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:17:01.072Z
sensor.reason,"Headroom 2.2A (net 7.2A), increasing to 6A",2026-03-31T13:17:31.072Z
sensor.reason,"Battery discharging 1342W, reducing to 5A",2026-03-31T13:18:01.074Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:18:31.071Z
sensor.reason,"Stable at 5A, battery charging 355W, grid 34W",2026-03-31T13:19:01.072Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:19:31.071Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:20:01.072Z
sensor.reason,"Home battery discharging 1343W, stopping car",2026-03-31T13:20:31.073Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:21:01.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:21:31.071Z
sensor.reason,"Home battery discharging 2698W, stopping car",2026-03-31T13:22:01.074Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:22:31.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:23:01.071Z
sensor.reason,"Home battery discharging 2857W, stopping car",2026-03-31T13:23:31.072Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:24:01.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:24:31.072Z
